landmark_class,best_object_count,best_robot_x,best_robot_y,best_robot_yaw_deg,last_seen_time
fast_sign,1,-1.467,3.083,-116.20,2026-03-20 12:31:20
slow_sign,1,-2.315,2.052,-38.62,2026-03-20 12:31:34
